state_name,state_district,po_office
Arizona,Arizona,"Tucson, AZ"
California,California Southern,"San Diego, CA"
Georgia,Georgia Southern,"Brunswick, GA"
Illinois,Illinois Southern,"East St. Louis, IL"
Texas,Texas Southern,"Houston, TX"
Texas,Texas Western,"Austin, TX"
Arizona,Arizona,"Phoenix, AZ"
Arkansas,Arkansas Western,"Fort Smith, AR"
California,California Central,"Los Angeles, CA"
Indiana,Indiana Southern,"Indianapolis, IN"
Nebraska,Nebraska,"Omaha, NE"
New Mexico,New Mexico,"Albuquerque, NM"
New Mexico,New Mexico,"Las Cruces, NM"
Puerto Rico,Puerto Rico,"San Juan, PR"
Texas,Texas Southern,"McAllen, TX"
Texas,Texas Western,"El Paso, TX"
Texas,Texas Western,"Pecos, TX"
Virginia,Virginia Eastern,"Manassas, VA"
Virginia,Virginia Eastern,"Norfolk, VA"
Alabama,Alabama Middle,"Montgomery, AL"
Alabama,Alabama Northern,"Birmingham, AL"
Alabama,Alabama Southern,"Mobile, AL"
California,California Northern,"San Francisco, CA"
California,California Southern,"Chula Vista, CA"
Colorado,Colorado,"Denver, CO"
District of Columbia,District of Columbia,"Washington, DC"
Florida,Florida Middle,"Orlando, FL"
Florida,Florida Middle,"Tampa, FL"
Florida,Florida Northern,"Pensacola, FL"
Florida,Florida Southern,"Fort Lauderdale, FL"
Florida,Florida Southern,"Hollywood, FL"
Florida,Florida Southern,"Miami, FL"
Florida,Florida Southern,"West Palm Beach, FL"
Georgia,Georgia Middle,"Columbus, GA"
Georgia,Georgia Middle,"Macon, GA"
Georgia,Georgia Northern,"Atlanta, GA"
Georgia,Georgia Southern,"Savannah, GA"
Guam,Guam,"Hagatna, GU"
Idaho,Idaho,"Boise, ID"
Illinois,Illinois Central,"Springfield, IL"
Indiana,Indiana Northern,"Fort Wayne, IN"
Indiana,Indiana Northern,"Hammond, IN"
Indiana,Indiana Northern,"South Bend, IN"
Iowa,Iowa Northern,"Cedar Rapids, IA"
Iowa,Iowa Northern,"Sioux City, IA"
Iowa,Iowa Southern,"Des Moines, IA"
Kansas,Kansas,"Kansas City, KS"
Kansas,Kansas,"Wichita, KS"
Kentucky,Kentucky Eastern,"Lexington, KY"
Kentucky,Kentucky Western,"Louisville, KY"
Louisiana,Louisiana Western,"Lafayette, LA"
Maryland,Maryland,"Baltimore, MD"
Michigan,Michigan Eastern,"Bay City, MI"
Michigan,Michigan Eastern,"Detroit, MI"
Michigan,Michigan Eastern,"Flint, MI"
Michigan,Michigan Western,"Grand Rapids, MI"
Michigan,Michigan Western,"Marquette, MI"
Minnesota,Minnesota,"Minneapolis, MN"
Mississippi,Mississippi Northern,"Oxford, MS"
Mississippi,Mississippi Southern,"Gulfport, MS"
Mississippi,Mississippi Southern,"Jackson, MS"
Missouri,Missouri Eastern,"Cape Girardeau, MO"
Missouri,Missouri Eastern,"St. Louis, MO"
Missouri,Missouri Western,"Kansas City, MO"
Missouri,Missouri Western,"Springfield, MO"
Montana,Montana,"Great Falls, MT"
Nevada,Nevada,"Las Vegas, NV"
New Jersey,New Jersey,"Trenton, NJ"
New Mexico,New Mexico,"Santa Fe, NM"
New York,New York Northern,"Albany, NY"
New York,New York Southern,"New York City, NY"
New York,New York Western,"Buffalo, NY"
New York,New York Western,"Rochester, NY"
North Carolina,North Carolina Eastern,"Raleigh, NC"
North Carolina,North Carolina Middle,"Greensboro, NC"
North Carolina,North Carolina Middle,"Winston Salem, NC"
North Carolina,North Carolina Western,"Charlotte, NC"
North Carolina,North Carolina Western,"Statesville, NC"
North Dakota,North Dakota,"Fargo, ND"
North Dakota,North Dakota,"Grand Forks, ND"
Ohio,Ohio Northern,"Cleveland, OH"
Ohio,Ohio Northern,"Toledo, OH"
Ohio,Ohio Northern,"Youngstown, OH"
Ohio,Ohio Southern,"Dayton, OH"
Oklahoma,Oklahoma Eastern,"Muskogee, OK"
Oklahoma,Oklahoma Northern,"Tulsa, OK"
Oklahoma,Oklahoma Western,"Lawton, OK"
Oklahoma,Oklahoma Western,"Oklahoma City, OK"
Oregon,Oregon,"Portland, OR"
Pennsylvania,Pennsylvania Eastern,"Philadelphia, PA"
Pennsylvania,Pennsylvania Middle,"Scranton, PA"
Rhode Island,Rhode Island,"Providence, RI"
South Carolina,South Carolina,"Columbia, SC"
South Carolina,South Carolina,"Greenville, SC"
South Dakota,South Dakota,"Pierre, SD"
South Dakota,South Dakota,"Rapid City, SD"
Tennessee,Tennessee Eastern,"Greeneville, TN"
Tennessee,Tennessee Middle,"Nashville, TN"
Tennessee,Tennessee Western,"Memphis, TN"
Texas,Texas Northern,"Amarillo, TX"
